0,处女,;处女状态，第一次性交后消失
10,胆小,;受到攻击时更容易退缩
11,反抗的,;受到攻击时斗志提升，拒绝请求成功率下降
12,坚强,;抵抗魔法攻击能力增强
13,顺从,;更容易接受他人的请求
14,温顺,;战斗开始时斗志降低，选择更谨慎
15,高自尊,;受到性攻击时斗志提升，拒绝比自己强的人
16,傲慢,;回避率提升，拒绝同等或更弱的人
17,低自尊,;性攻击伤害减轻

20,自制力,;减少自慰发生几率
21,冷漠,;队友失去斗志时不受影响
22,情感淡薄,;斗志变化减半
23,好奇心,;探索成功率提升
24,保守的,;弱攻击命中率提升，倾向于埋伏
25,乐观的,;HP归零时斗志不减
26,悲观的,;被束缚时斗志归零，倾向于谨慎
27,不越线,;感觉和自慰中毒成长缓慢
28,爱表现,;战斗开始时在前排，倾向于突击

30,贞操观念,;阴道性攻击时斗志下降
31,贞操淡漠,;阴道性攻击时斗志不变
32,压抑,;高潮时斗志变化为零
33,解放,;衣服被脱时不斗志下降，衣服被脱光时斗志上升
34,抵抗,;从束缚中逃脱概率提升
35,害羞,;全裸状态命中率提升，魔力自然消耗加倍
36,羞耻心弱,;全裸状态魔力不自然消耗

40,怕痛,;通常攻击伤害增加，斗志变化增加
41,耐痛,;通常攻击伤害减轻
42,易湿,;肛门和阴道性攻击时兴奋度增加，魔力伤害减轻
43,不易湿,;肛门和阴道性攻击时兴奋度减少

50,学习快,;战斗技能成长快
51,学习慢,;感知技能成长快，战斗技能成长慢
52,舌技,;谈话技能成长快
53,针技,;消耗品武器攻击力提升
55,调配知识,;探索时可能发现额外物品
56,药毒耐性,;减少睡眠和发情几率

60,易自慰,;自慰发生条件宽松
61,污臭迟钝,;被吞咽束缚时斗志不减
62,污臭敏感,;被吞咽束缚时斗志变化加倍
63,奉献的,;站在前排时友好度不降，回避惩罚减轻

70,对快感坦率,;性攻击时斗志提升
71,否定快感,;各种感觉成长缓慢
72,易中毒,;自慰中毒成长快

100,娇小体型,;回避率提升，肛门阴道攻击伤害增加
101,A敏感度,;对应部位敏感度
102,B敏感度,;对应部位敏感度
103,C敏感度,;对应部位敏感度
104,V敏感度,;对应部位敏感度
107,平胸,;效果待定
108,爆乳,;效果待定
109,贫乳,;胸部攻击伤害增加，斗志提升
110,巨乳,;胸部攻击伤害减轻
111,回复快,;自动回复量1.5倍
112,回复慢,;自动回复量0.8倍，睡觉时容易醒来

114,吸血鬼体质,;白天回复减半，夜晚回复3倍
115,日光浴,;早晨和白天回复2倍
116,月光浴,;傍晚和夜晚回复2倍
117,治疗,;战斗结束时全体HP回复2%
118,鼓舞,;战斗结束时全体MP回复1%

128,蓬莱人,;战败时立即复活
130,泌乳体质,;胸部高潮时MP伤害增加，对方HP回复
132,幼稚,;被寄生概率减少，倾向于突击
139,变幻自在,;可以改变体型和胸部大小

140,宠物,;被宠物侵犯过多获得
149,触手使役术,;宠物相关各种修正

150,妖精,;战败数日后复活
152,洁癖,;自动净化量提升，被寄生时斗志下降
153,裁缝上手,;战斗结束时如果不是全裸CP回复10%
154,哨戒,;睡眠时失败率下降，成功率上升
155,异形耐性,;性攻击和寄生攻击斗志减少防止
156,淫魔,;高潮时MP回复，满足条件后会堕落
157,敌人,;原是敌人的标志，可以对话并进行色情行为
158,超乳,;比爆乳更大
159,凹陷乳头,;不出母乳时胸部伤害增加，高潮后开始泌乳
160,净化知识,;净化失败率下降，结界强化
161,体术熟练,;非消耗武器有加成
163,鹰眼,;消耗武器有加成，要害攻击时追加攻击
164,术式知识,;魔法阵陷阱回避率上升

168,神气,;EPCP伤害减少，感觉等级高时反而有惩罚

184,沉默,;口交经验增长快
185,易潮吹,;更容易潮吹
186,奉献奴隶,;侍奉精神高
187,放松警惕,;警戒心下降
188,结界弱化,;结界强度下降
189,崩坏,;精神崩溃状态

311,反抗心消灭,;M倾向和侍奉容易上升，战斗经验难增长
315,自尊崩坏,;自尊完全丧失
316,傲慢消灭,;傲慢性格消失
320,自制力消灭,;自制力消失
321,冷漠消灭,;冷漠性格消失
327,不越线消灭,;底线完全消失
330,贞操观念消灭,;贞操观念消失
332,压抑消灭,;压抑性格消失
334,抵抗消灭,;抵抗意志消失
336,羞耻心,;羞耻心增强
365,羞耻V,;对阴道暴露感到羞耻
371,否定快感消灭,;开始接受快感
411,回复快消灭,;回复能力下降