; 身体部位定义
; 用于详细的身体敏感度描写

NO,部位名称,敏感度参数,功能参数,描写优先级
0,嘴唇,PALAM:30,PALAM:31,高
1,舌头,PALAM:32,PALAM:33,高
2,耳朵,PALAM:34,PALAM:35,中
3,颈部,PALAM:36,PALAM:37,中
4,乳房,PALAM:38,PALAM:39,高
5,乳头,PALAM:40,PALAM:41,高
6,乳沟,PALAM:42,PALAM:43,中
7,腹部,PALAM:44,PALAM:45,低
8,腰部,PALAM:46,PALAM:47,中
9,臀部,PALAM:48,PALAM:49,高
10,大腿内侧,PALAM:50,PALAM:51,高
11,膝盖后方,PALAM:52,PALAM:53,低
12,脚踝,PALAM:54,PALAM:55,低
13,阴蒂,PALAM:56,PALAM:57,极高
14,阴唇,PALAM:58,PALAM:59,极高
15,阴道,PALAM:60,PALAM:61,极高
16,G点,PALAM:62,PALAM:63,极高
17,子宫颈,PALAM:64,PALAM:65,高
18,肛门,PALAM:66,PALAM:67,高
19,前列腺,PALAM:68,PALAM:69,高（男性）
20,睾丸,PALAM:70,PALAM:71,中（男性）
21,阴茎,PALAM:72,PALAM:73,高（男性）